1948-07-05,87.0/52.0,28
1948-07-08,93.0/59.0,39
1948-07-09,97.0/56.0,5
1948-07-10,99.0/63.0,46
1948-07-11,95.0/64.0,61
1948-07-12,99.0/58.0,11
1948-07-13,102.0/62.0,15
1948-07-14,106.0/67.0,11
1948-07-15,109.0/71.0,5
1948-07-16,110.0/72.0,1
1948-07-17,105.0/69.0,24
1948-07-18,100.0/64.0,47
1948-07-19,101.0/65.0,41
1948-07-21,103.0/65.0,18
1948-07-22,101.0/64.0,25
1948-07-23,96.0/58.0,23
1948-07-24,91.0/58.0,46
1948-07-25,98.0/63.0,58
1948-07-26,101.0/66.0,46
1948-07-27,102.0/61.0,13
1948-07-28,99.0/64.0,55
1948-07-31,104.0/63.0,8
1948-08-01,102.0/69.0,42
1948-08-02,104.0/69.0,35
1948-08-03,100.0/67.0,59
1948-08-04,98.0/65.0,59
1948-08-05,101.0/60.0,5
1948-08-06,103.0/62.0,7
1948-08-07,96.0/63.0,53
1948-08-09,94.0/57.0,41
1948-08-12,97.0/58.0,14
1948-08-14,99.0/61.0,33
1948-08-15,97.0/61.0,48
1948-08-16,97.0/57.0,10
1948-08-17,94.0/58.0,41
1948-08-18,94.0/60.0,60
1948-08-19,91.0/59.0,59
1948-08-22,87.0/58.0,49
1948-08-26,101.0/61.0,15
1948-08-29,103.0/61.0,8
1948-08-30,98.0/62.0,53
1948-09-01,104.0/64.0,8
1948-09-02,102.0/65.0,28
1948-09-03,101.0/62.0,16
1948-09-06,98.0/57.0,8
1948-09-07,100.0/60.0,18
1948-09-08,102.0/60.0,6
1948-09-10,103.0/63.0,13
1948-09-11,103.0/64.0,13
1948-09-12,102.0/64.0,31
1948-09-14,100.0/61.0,31
1948-09-16,91.0/56.0,37
1948-09-17,89.0/56.0,24
1948-09-18,85.0/56.0,33
1948-09-19,86.0/54.0,37
1948-09-20,90.0/51.0,6
1948-09-21,77.0/57.0,10
1948-09-22,79.0/50.0,36
1948-09-23,77.0/55.0,23
1948-09-25,72.0/43.0,19
1948-09-26,79.0/43.0,10
1948-09-27,84.0/44.0,6
1948-09-28,89.0/47.0,2
1948-09-29,90.0/48.0,7
1948-09-30,90.0/50.0,5
