1948-06-18,98.0/75.0,27
1948-06-19,84.0/68.0,24
1948-06-20,90.0/65.0,39
1948-06-22,90.0/69.0,61
1948-06-23,76.0/66.0,10
1948-06-24,82.0/66.0,22
1948-06-25,86.0/71.0,24
1948-06-27,84.0/64.0,45
1948-06-28,80.0/64.0,22
1948-06-29,89.0/64.0,37
1948-06-30,94.0/67.0,38
1948-07-01,88.0/70.0,56
1948-07-02,81.0/68.0,11
1948-07-03,84.0/69.0,26
1948-07-06,85.0/66.0,41
1948-07-07,91.0/73.0,44
1948-07-08,89.0/68.0,60
1948-07-09,88.0/69.0,48
1948-07-11,86.0/70.0,35
1948-07-12,91.0/70.0,80
1948-07-14,96.0/73.0,63
1948-07-15,91.0/68.0,39
1948-07-16,92.0/72.0,51
1948-07-17,95.0/72.0,55
1948-07-18,94.0/74.0,37
1948-07-19,93.0/73.0,49
1948-07-20,93.0/77.0,6
1948-07-21,94.0/77.0,10
1948-07-22,95.0/76.0,13
1948-07-23,79.0/68.0,12
1948-07-25,95.0/74.0,52
1948-07-26,94.0/72.0,56
1948-07-27,95.0/73.0,46
1948-07-29,92.0/74.0,33
1948-07-30,87.0/71.0,20
1948-07-31,90.0/64.0,27
1948-08-03,93.0/70.0,64
1948-08-04,81.0/65.0,24
1948-08-05,83.0/60.0,37
1948-08-06,78.0/62.0,16
1948-08-08,82.0/68.0,27
1948-08-10,94.0/73.0,51
1948-08-11,97.0/76.0,26
1948-08-12,95.0/69.0,44
1948-08-13,96.0/74.0,40
1948-08-17,93.0/68.0,59
1948-08-19,98.0/68.0,13
1948-08-20,102.0/69.0,4
1948-08-21,100.0/75.0,23
1948-08-22,99.0/71.0,35
1948-08-23,97.0/69.0,29
1948-08-24,94.0/69.0,43
1948-08-25,91.0/69.0,51
1948-08-26,85.0/69.0,30
1948-08-29,92.0/69.0,61
1948-08-30,96.0/69.0,39
1948-08-31,97.0/70.0,43
1948-09-02,91.0/62.0,13
1948-09-03,93.0/65.0,18
1948-09-04,94.0/68.0,47
1948-09-06,101.0/70.0,10
1948-09-09,83.0/56.0,28
1948-09-11,86.0/56.0,17
1948-09-12,85.0/54.0,23
1948-09-13,89.0/58.0,7
1948-09-17,86.0/66.0,42
1948-09-18,89.0/66.0,45
