MonthDay,RecordHigh,YearHigh,RecordLow,YearLow
06-19,97.0,2022,41.0,1952
06-20,102.0,1988,34.0,1969
06-21,94.0,1988,44.0,2020
06-22,98.0,1987,43.0,1996
06-23,100.0,1988,36.0,1967
06-24,95.0,1988,38.0,2004
06-25,95.0,1977,40.0,2004
06-26,97.0,1961,39.0,1968
06-27,101.0,1988,40.0,1993
06-28,96.0,1961,44.0,1993
06-29,97.0,2002,39.0,1959
06-30,92.0,2021,42.0,2024
07-01,94.0,2021,43.0,1954
07-02,97.0,2021,42.0,1968
07-03,100.0,2021,40.0,1967
07-04,99.0,1989,42.0,1992
07-05,98.0,2017,43.0,2023
07-06,102.0,1981,45.0,1997
07-07,102.0,1981,42.0,1958
07-08,98.0,1989,45.0,2003
07-09,97.0,1970,40.0,1955
07-10,100.0,1980,39.0,1951
07-11,93.0,1973,44.0,2023
07-12,97.0,2006,44.0,1993
07-13,96.0,1980,43.0,1967
07-14,100.0,2017,44.0,1993
07-15,97.0,1960,46.0,1958
07-16,99.0,1949,44.0,1976
07-17,105.0,1977,44.0,2009
07-18,99.0,1974,46.0,1951
07-19,101.0,2012,44.0,1949
07-20,103.0,1960,45.0,1972
07-21,97.0,1955,46.0,1992
07-22,97.0,2007,45.0,1949
07-23,103.0,2007,47.0,2004
07-24,104.0,2007,49.0,1968
07-25,97.0,2024,45.0,1962
07-26,99.0,1988,44.0,1967
07-27,105.0,1988,43.0,2013
07-28,102.0,1988,42.0,2013
07-29,102.0,1975,44.0,1949
07-30,98.0,2007,44.0,1958
07-31,103.0,2007,46.0,1995
08-01,99.0,1989,45.0,1948
08-02,98.0,1989,42.0,2002
08-03,100.0,2018,43.0,1948
08-04,102.0,2001,45.0,2009
08-05,99.0,1988,45.0,1977
08-06,102.0,1988,44.0,1989
08-07,107.0,1949,46.0,1964
08-08,104.0,1958,42.0,1994
08-09,95.0,2007,44.0,1968
08-10,98.0,2018,41.0,1982
08-11,103.0,2018,41.0,1964
08-12,106.0,2018,36.0,1964
08-13,99.0,1978,39.0,1964
08-14,101.0,2015,37.0,1979
08-15,103.0,2021,43.0,1989
08-16,104.0,2021,43.0,1975
08-17,104.0,2003,37.0,1950
08-18,97.0,2018,38.0,2002
08-19,99.0,2020,38.0,1950
08-20,96.0,2020,32.0,2004
08-21,103.0,1971,42.0,1986
08-22,99.0,1969,41.0,1967
08-23,99.0,1976,39.0,1950
08-24,101.0,1996,36.0,1958
08-25,98.0,1984,39.0,1964
08-26,96.0,1984,37.0,1982
08-27,99.0,1973,34.0,1982
08-28,101.0,1971,39.0,1965
08-29,104.0,2012,37.0,1988
08-30,96.0,2008,39.0,1949
08-31,97.0,2008,37.0,1992
09-01,99.0,2022,36.0,1974
09-02,98.0,1960,35.0,1974
09-03,100.0,1978,35.0,1961
09-04,106.0,1978,36.0,1962
09-05,104.0,2001,33.0,1965
09-06,101.0,1976,29.0,1956
09-07,97.0,2003,34.0,2020
09-08,95.0,1994,32.0,2020
09-09,99.0,1994,33.0,2006
09-10,96.0,1982,30.0,1955
09-11,94.0,1948,25.0,1955
09-12,98.0,2017,31.0,1989
09-13,91.0,2015,28.0,1970
09-14,88.0,1968,25.0,1964
09-15,97.0,1948,25.0,1959
09-16,95.0,1979,24.0,1959
09-17,94.0,1989,22.0,1959
09-18,92.0,2004,31.0,2010
09-19,90.0,1960,27.0,1991
09-20,94.0,1960,30.0,1995
09-21,84.0,2008,25.0,1995
09-22,88.0,2020,26.0,2012
09-23,87.0,1992,28.0,1976
09-24,90.0,1992,27.0,1985
09-25,93.0,2014,26.0,1965
09-26,92.0,2014,21.0,1965
09-27,93.0,2021,28.0,1992
09-28,96.0,2021,26.0,1951
09-29,97.0,2024,27.0,1974
09-30,93.0,1989,22.0,1974
10-01,92.0,1992,16.0,1974
10-02,92.0,1997,20.0,1999
10-03,85.0,2021,19.0,1989
10-04,94.0,1963,22.0,2004
10-05,91.0,2021,24.0,2012
10-06,90.0,2021,17.0,1954
10-07,85.0,2003,17.0,2000
10-08,82.0,2024,18.0,1993
10-09,86.0,2024,13.0,1985
10-10,85.0,1955,15.0,1987
10-11,81.0,1995,15.0,1959
10-12,81.0,1956,18.0,1986
10-13,85.0,1958,20.0,2009
10-14,83.0,1988,18.0,2018
10-15,83.0,1953,16.0,1966
10-16,84.0,1961,13.0,1976
10-17,79.0,1997,14.0,1948
10-18,80.0,2000,9.0,1972
10-19,84.0,2003,6.0,1960
10-20,80.0,2017,21.0,1960
10-21,80.0,2024,16.0,1997
10-22,79.0,1963,17.0,1996
10-23,78.0,1963,11.0,2020
10-24,79.0,1992,10.0,1957
10-25,75.0,1955,6.0,1957
10-26,77.0,1955,9.0,1957
10-27,76.0,1983,14.0,2023
10-28,70.0,1985,10.0,1988
10-29,75.0,1950,9.0,1991
10-30,80.0,1950,1.0,1991
10-31,76.0,1999,-0.0,1991
11-01,73.0,2022,2.0,1984
11-02,74.0,1965,1.0,1951
11-03,73.0,2020,-4.0,2003
11-04,73.0,2020,-2.0,1951
11-05,74.0,1975,-1.0,1951
11-06,75.0,2009,-8.0,1991
11-07,79.0,1999,-4.0,2003
11-08,73.0,1999,-1.0,2003
11-09,71.0,2016,-2.0,1986
11-10,70.0,1961,-7.0,1986
11-11,67.0,1999,-6.0,1986
11-12,72.0,1999,-6.0,1986
11-13,65.0,2001,-8.0,1955
11-14,64.0,1953,-10.0,1959
11-15,69.0,1953,-10.0,1959
11-16,68.0,2001,-14.0,1959
11-17,68.0,2001,-10.0,1959
11-18,60.0,1949,-10.0,1955
11-19,54.0,2023,-11.0,1978
11-20,64.0,2006,-14.0,1978
11-21,59.0,2006,-13.0,1978
11-22,56.0,2006,-10.0,2013
11-23,63.0,2017,-17.0,2013
11-24,59.0,1984,-14.0,1977
11-25,62.0,1960,-12.0,1996
11-26,59.0,1962,-17.0,2014
11-27,68.0,1949,-18.0,2014
11-28,56.0,2002,-12.0,1985
11-29,54.0,2021,-20.0,1964
11-30,52.0,1969,-15.0,1955
12-01,58.0,2021,-19.0,2014
12-02,56.0,1949,-17.0,1985
12-03,53.0,2020,-17.0,1985
12-04,58.0,1979,-21.0,1964
12-05,53.0,1988,-20.0,1994
12-06,55.0,2023,-23.0,1994
12-07,53.0,2023,-20.0,2013
12-08,55.0,2020,-23.0,1977
12-09,62.0,2015,-27.0,1977
12-10,56.0,1987,-21.0,2016
12-11,50.0,2004,-18.0,2013
12-12,51.0,2017,-15.0,2024
12-13,50.0,2002,-19.0,1949
12-14,55.0,1998,-23.0,1949
12-15,51.0,1997,-23.0,2008
12-16,54.0,1962,-20.0,1951
12-17,56.0,1997,-22.0,1983
12-18,51.0,2018,-28.0,1951
12-19,51.0,2004,-31.0,1983
12-20,50.0,2004,-32.0,1983
12-21,49.0,1979,-25.0,1951
12-22,51.0,1954,-30.0,1983
12-23,47.0,2023,-36.0,1983
12-24,47.0,1999,-28.0,1983
12-25,48.0,1999,-21.0,1996
12-26,49.0,2005,-23.0,1950
12-27,50.0,1999,-25.0,2017
12-28,51.0,1999,-20.0,1992
12-29,52.0,1999,-24.0,1968
12-30,44.0,1980,-28.0,2017
12-31,45.0,1963,-30.0,1967
