1949-03-10,70.0/42.0,16
1949-03-11,65.0/47.0,29
1949-03-12,67.0/35.0,11
1949-03-13,69.0/37.0,16
1949-03-14,71.0/38.0,15
1949-03-15,74.0/46.0,25
1949-03-16,73.0/52.0,17
1949-03-17,75.0/41.0,15
1949-03-18,76.0/43.0,17
1949-03-19,80.0/43.0,2
1949-03-20,68.0/49.0,24
1949-03-21,71.0/41.0,17
1949-03-22,68.0/48.0,30
1949-03-23,56.0/40.0,20
1949-03-24,60.0/36.0,29
1949-03-25,64.0/37.0,29
1949-03-26,69.0/45.0,26
1949-03-27,79.0/44.0,8
1949-03-28,59.0/43.0,22
1949-03-29,60.0/39.0,36
1949-03-30,67.0/34.0,8
1949-03-31,48.0/35.0,7
1949-04-01,60.0/38.0,44
1949-04-02,64.0/39.0,36
1949-04-03,70.0/41.0,21
1949-04-04,75.0/43.0,11
1949-04-05,82.0/43.0,4
1949-04-06,80.0/55.0,25
1949-04-07,74.0/51.0,32
1949-04-08,75.0/45.0,29
1949-04-09,78.0/51.0,27
1949-04-11,84.0/46.0,4
1949-04-12,87.0/47.0,1
1949-04-13,82.0/57.0,25
1949-04-14,83.0/46.0,3
1949-04-15,81.0/52.0,21
1949-04-16,87.0/55.0,15
1949-04-17,77.0/52.0,27
1949-04-18,82.0/49.0,11
1949-04-19,81.0/51.0,16
1949-04-20,85.0/48.0,8
1949-04-21,88.0/61.0,26
1949-04-22,96.0/57.0,5
1949-04-23,98.0/56.0,2
1949-04-24,97.0/71.0,30
1949-04-25,88.0/63.0,21
1949-04-26,91.0/55.0,13
1949-04-27,92.0/60.0,22
1949-04-28,92.0/56.0,9
1949-04-29,84.0/61.0,26
1949-05-01,90.0/50.0,2
1949-05-02,90.0/61.0,13
1949-05-03,83.0/62.0,15
1949-05-04,82.0/52.0,21
1949-05-06,80.0/57.0,25
1949-05-07,85.0/50.0,14
1949-05-08,91.0/59.0,23
1949-05-09,78.0/55.0,25
1949-05-10,80.0/50.0,21
1949-05-11,81.0/58.0,20
1949-05-12,89.0/55.0,7
1949-05-13,93.0/60.0,17
1949-05-14,79.0/59.0,21
1949-05-15,75.0/55.0,25
1949-05-16,75.0/56.0,17
1949-05-17,74.0/58.0,17
1949-05-18,72.0/55.0,10
1949-05-20,78.0/46.0,22
1949-05-21,84.0/52.0,15
1949-05-22,89.0/56.0,11
1949-05-23,97.0/59.0,7
1949-05-24,100.0/61.0,4
1949-05-25,101.0/60.0,2
1949-05-26,99.0/69.0,17
1949-05-27,100.0/64.0,8
1949-05-28,87.0/67.0,13
1949-05-29,82.0/60.0,18
